Fe,Co,Ni,Kerr,Coercivity
26.5,39.9,33.6,0.37319,-2.6642
76.1,19.5,4.4,0.52548,-3.7234
54.4,26.3,19.3,0.47596,-2.6527000000000003
53.6,10.4,36.0,0.30377,-9.1628
14.8,55.8,29.5,0.3445,-2.6653
17.6,42.2,40.2,0.30243,-2.6054
9.5,62.6,28.0,0.31899,-2.3673
34.5,35.4,30.1,0.40601,-2.9293
26.7,51.2,22.1,0.48591,-3.8871
36.8,30.8,32.4,0.4108,-2.2187
59.4,10.4,30.2,0.40361,-7.4992
61.3,10.4,28.3,0.41981,-6.8452
29.7,49.0,21.3,0.48294,-4.0786
7.2,67.1,25.7,0.30395,-2.3929
36.6,46.7,16.7,0.53235,-4.3249
48.0,21.7,30.3,0.45364,-1.8715
24.4,28.5,47.1,0.3478,-1.6863
22.1,19.5,58.4,0.28032,-1.9385
64.0,12.7,23.3,0.45885,-2.4163
23.9,8.1,68.0,0.040002,-6.8863
29.1,58.0,12.9,0.63015,-4.12
30.3,39.9,29.8,0.40365,-3.3513
67.1,10.4,22.5,0.43953,-4.3147
19.3,73.9,6.8,0.64964,-3.0141
42.8,12.7,44.5,0.3494,-7.3974
28.4,39.9,31.7,0.38981,-2.766
36.7,17.2,46.1,0.38638,-1.9674
9.8,17.2,73.0,0.14566,-2.4721
15.1,24.0,60.9,0.22055,-1.4702
25.8,8.1,66.1,0.033387,-6.0915
69.8,12.7,17.5,0.47299,-2.097
33.2,12.7,54.1,0.27007,-8.6208
8.2,26.3,65.6,0.16235,-1.6261
26.3,14.9,58.8,0.27871,-5.522399999999999
52.5,26.3,21.2,0.47043,-2.2727
33.6,49.0,17.5,0.53638,-4.3887
32.6,62.6,4.8,0.76474,-4.027
12.3,8.1,79.6,0.047497,-6.2061
23.4,42.2,34.4,0.36779,-2.996
11.2,24.0,64.8,0.19159,-1.6579000000000002
40.1,51.2,8.6,0.69014,-4.2006
23.9,49.0,27.1,0.43154,-3.2856
12.2,64.8,22.9,0.35821,-2.3172
78.3,14.9,6.7,0.49119,-2.3291
15.7,42.2,42.1,0.29429,-2.6393
11.9,69.4,18.7,0.39592,-2.2751
6.2,53.5,40.2,0.27041,-1.9046
28.4,67.1,4.5,0.74099,-3.8642
48.5,42.2,9.4,0.59484,-4.0027
20.5,55.8,23.7,0.45408,-2.8881
39.0,53.5,7.5,0.71272,-4.0988
42.0,24.0,33.9,0.43663,-1.5802
10.4,76.2,13.4,0.45213,-2.2099
56.8,33.1,10.1,0.53368,-3.5122
59.9,17.2,22.9,0.46177,-1.9413
14.0,53.5,32.5,0.31884,-2.2259
66.8,28.5,4.7,0.57356,-4.1191
21.3,30.8,47.9,0.32641,-1.7568
45.1,8.1,46.8,0.088636,-8.2024
13.5,46.7,39.8,0.29218,-2.3093
53.3,14.9,31.8,0.44098,-1.9149
31.8,60.3,7.9,0.73071,-3.8074
32.3,39.9,27.8,0.4242,-3.5223
6.9,44.4,48.7,0.23463,-1.7913
67.1,24.0,8.9,0.51101,-2.908
7.4,78.5,14.1,0.39682,-2.4231000000000003
12.8,55.8,31.4,0.31322,-2.3405
51.4,14.9,33.7,0.42891,-2.3109
38.2,51.2,10.5,0.65788,-4.2661
42.4,46.7,10.9,0.61679,-4.2447
37.5,19.5,43.0,0.39422,-1.6622
51.2,44.4,4.3,0.68297,-4.0176
62.1,26.3,11.6,0.49847,-2.1125
13.3,62.6,24.1,0.36003,-2.2053000000000003
22.0,49.0,29.0,0.40558,-3.2507
28.7,21.7,49.6,0.34773,-1.607
77.2,17.2,5.6,0.50259,-3.1685
42.7,42.2,15.1,0.51997,-4.2826
33.1,42.2,24.8,0.44302,-3.8216
31.0,17.2,51.8,0.34292,-2.3999
61.3,24.0,14.7,0.49133,-2.4514
45.9,24.0,30.1,0.45158,-1.7761
68.7,14.9,16.4,0.46275,-1.9389
