Fe,Co,Ni,Kerr,Coercivity
46.6,42.2,11.3,0.56789,-4.004
17.3,46.7,36.0,0.31832,-2.8041
67.3,21.7,11.0,0.49327,-2.4076
51.4,28.5,20.1,0.46961,-2.5655
26.9,5.9,67.2,0.021054,-3.835
40.9,12.7,46.4,0.3477,-7.8271
36.0,55.8,8.3,0.73511,-3.9566
18.3,19.5,62.3,0.24024,-1.9302
26.8,21.7,51.5,0.33304,-1.672
5.9,58.0,36.0,0.28626,-2.0387
31.5,37.6,30.9,0.40158,-2.8563
15.6,58.0,26.4,0.37611,-2.4228
52.0,5.9,42.2,0.14171,-8.6468
20.7,67.1,12.2,0.59523,-3.5375
4.7,76.2,19.1,0.26779,-3.3909
20.7,39.9,39.4,0.33309,-2.3678
20.4,71.7,7.9,0.64626,-3.2172
62.6,33.1,4.3,0.60801,-3.5941
18.8,67.1,14.1,0.55326,-4.4053
41.0,53.5,5.5,0.77841,-3.9676
82.8,5.9,11.3,0.43608,-5.0545
10.7,44.4,44.8,0.26741,-2.0794
29.4,53.5,17.1,0.54453,-4.0542
47.1,49.0,4.0,0.76415,-4.0096
23.2,17.2,59.6,0.28156,-2.6735
8.5,85.3,6.3,0.6114,-2.7573
53.0,19.5,27.6,0.45793,-1.815
6.1,69.4,24.5,0.28974,-2.5052
28.1,3.6,68.4,0.018885,-4.2638
31.9,3.6,64.5,0.0297,-7.084300000000001
12.7,71.7,15.7,0.45399,-2.3872
39.0,26.3,34.7,0.41461,-1.8462
22.1,33.1,44.8,0.32576,-1.8025
6.9,71.7,21.4,0.3102,-2.3524000000000003
50.9,8.1,41.0,0.12701,-8.9083
28.9,5.9,65.3,0.037339,-6.1211
55.4,39.9,4.7,0.62892,-2.6303
27.0,46.7,26.3,0.44416,-3.5209
19.2,5.9,74.9,0.031969,-5.5155
70.3,19.5,10.2,0.48236,-2.2923
6.7,19.5,73.8,0.12912,-1.639
16.0,37.6,46.3,0.29483,-1.8104
24.4,14.9,60.7,0.25552,-5.8025
26.3,28.5,45.1,0.36392,-1.9208
7.3,24.0,68.6,0.14711,-1.5909
58.3,26.3,15.4,0.48356,-2.3656
82.0,3.6,14.4,0.42472,-4.2022
73.2,5.9,20.9,0.20565,-6.393800000000001
24.9,21.7,53.4,0.3147,-1.6488
19.7,53.5,26.8,0.41664,-2.9713000000000003
11.1,39.9,49.1,0.25744,-1.9648
49.8,24.0,26.2,0.46278,-2.1931000000000003
74.0,8.1,17.9,0.37307,-6.777299999999999
8.2,80.7,11.1,0.4652,-2.7404
16.7,28.5,54.8,0.26367,-1.7059000000000002
18.9,51.2,29.8,0.38524,-2.8607
17.4,73.9,8.7,0.60932,-2.814
35.9,28.5,35.5,0.39912,-2.0144
33.7,60.3,6.0,0.7558,-3.902600000000001
43.5,3.6,52.9,0.10165,-8.6372
15.4,5.9,78.8,0.051319,-8.173399999999999
72.4,3.6,24.0,0.25932,-6.4539
51.8,21.7,26.4,0.45868,-1.9159
38.4,35.4,26.3,0.43284,-3.0652
25.4,42.2,32.5,0.38168,-3.3498
4.5,37.6,57.9,0.16729,-1.7715
66.0,26.3,7.7,0.52772,-2.681
33.5,8.1,58.4,0.10145,-6.1538
66.5,19.5,14.1,0.47885,-2.0276
16.3,19.5,64.2,0.22077,-1.8564
35.8,3.6,60.6,0.048969,-7.7296
71.3,5.9,22.9,0.17588,-6.677899999999999
5.4,87.5,7.1,0.56651,-2.6948
31.1,42.2,26.7,0.43696,-3.4530000000000003
18.5,44.4,37.1,0.32062,-2.8452
48.6,26.3,25.1,0.45508,-2.6095
44.8,12.7,42.6,0.36428,-6.8794
50.6,26.3,23.2,0.45991,-2.5842
21.1,5.9,73.0,0.031092,-6.5062
15.7,69.4,14.9,0.50065,-2.4595
34.3,24.0,41.7,0.39912,-1.7928000000000002
50.7,37.6,11.6,0.53592,-3.8353
49.1,33.1,17.8,0.47536,-3.0733
18.3,60.3,21.4,0.4552,-2.7674
29.3,12.7,58.0,0.24121,-8.9147
15.9,12.7,71.5,0.096545,-10.143
11.2,51.2,37.5,0.29567,-1.933
28.1,44.4,27.5,0.43016,-3.7871
74.2,19.5,6.4,0.51397,-3.0972
44.5,17.2,38.3,0.41995,-1.99
36.4,35.4,28.2,0.41781,-3.0127
71.0,24.0,5.0,0.5429,-3.8524
23.3,58.0,18.7,0.5203,-3.725
21.7,53.5,24.8,0.45016,-3.1291
32.9,17.2,49.9,0.35561,-2.4282
17.8,53.5,28.7,0.38655,-2.8600000000000003
60.2,26.3,13.5,0.50428,-2.2685
63.6,5.9,30.6,0.17192,-9.3871
33.9,44.4,21.7,0.47878,-3.983
72.2,19.5,8.3,0.49636,-2.6668
21.0,62.6,16.4,0.53778,-2.9646
71.4,17.2,11.4,0.48248,-1.934
5.8,46.7,47.5,0.23375,-1.6671
33.7,33.1,33.2,0.3992,-2.6396
78.2,3.6,18.2,0.42539,-7.2006
18.6,14.9,66.5,0.20088,-6.0487
44.0,10.4,45.6,0.17656,-9.4834
15.2,21.7,63.0,0.22056,-1.6095
53.3,28.5,18.2,0.47375,-2.5547
66.3,8.1,25.6,0.17273,-7.265600000000001
39.0,12.7,48.4,0.32549,-7.824299999999999
13.0,39.9,47.1,0.27491,-2.0527
21.0,21.7,57.3,0.28168,-1.8414
53.6,24.0,22.4,0.46271,-2.1552
38.0,39.9,22.1,0.4612,-4.0413
59.6,21.7,18.7,0.47493,-2.081
37.9,28.5,33.6,0.41357,-2.3568
8.6,33.1,58.3,0.19731,-2.0258
10.6,19.5,70.0,0.16422,-1.731
87.8,3.6,8.6,0.46385,-2.2722
51.9,35.4,12.8,0.52263,-3.3568
24.1,60.3,15.6,0.56977,-3.7422
11.7,17.2,71.1,0.16196,-2.904
20.5,28.5,50.9,0.30315,-1.7898
38.2,10.4,51.4,0.1203,-7.782999999999999
16.4,33.1,50.6,0.28294,-1.8079
23.5,69.4,7.2,0.66505,-3.5279000000000003
16.1,64.8,19.1,0.45399,-2.6062000000000003
