Sr / La,Co / Fe,Composition String,Total Energy (O24),Formation Energy (O24),Total Energy (O23),Formation Energy (O23),Vacancy Formation Energy,hull_energy,e_above_hull,is_on_hull
0.375,0.375,La5Sr3Fe5Co3O24,-301.165,-93.003,-294.254,-91.057,-1.946,-301.39418750000004,-0.2291875000000232,False
0.0,0.0,La8Sr0Fe8Co0O24,-308.502,-103.632,-299.119,-99.214,-4.418,-308.502,-0.0,True
0.25,0.5,La6Sr2Fe4Co4O24,-301.87,-95.661,-293.82,-92.577,-3.084,-301.971,-0.10099999999999909,False
0.375,0.5,La5Sr3Fe4Co4O24,-300.442,-92.708,-293.533,-90.764,-1.943,-300.442,-0.0,True
0.25,0.0,La6Sr2Fe8Co0O24,-305.64,-97.719,-299.254,-96.299,-1.421,-305.64,-0.0,True
0.375,0.125,La5Sr3Fe7Co1O24,-303.153,-94.134,-297.368,-93.315,-0.819,-303.29856249999995,-0.14556249999992588,False
0.125,0.125,La7Sr1Fe7Co1O24,-306.365,-100.398,-298.43,-97.428,-2.97,-306.365,-0.0,True
0.875,0.875,La1Sr7Fe1Co7O24,-289.234,-76.682,-283.655,-76.068,-0.613,-289.3236666666665,-0.0896666666665169,False
0.0,0.5,La8Sr0Fe4Co4O24,-305.008,-101.85,-294.773,-96.581,-5.269,-305.008,-0.0,True
0.125,0.375,La7Sr1Fe5Co3O24,-304.331,-99.219,-296.087,-95.941,-3.278,-304.4654,-0.134399999999971,False
0.625,0.5,La3Sr5Fe4Co4O24,-297.024,-86.239,-291.344,-85.524,-0.715,-297.02839999999986,-0.004399999999861848,False
0.375,0.75,La5Sr3Fe2Co6O24,-297.798,-90.92,-291.8,-89.888,-1.033,-297.86283333333307,-0.06483333333306973,False
0.875,0.5,La1Sr7Fe4Co4O24,-293.355,-79.519,-289.028,-80.158,0.639,-293.5649999999995,-0.20999999999946795,False
0.375,1.0,La5Sr3Fe0Co8O24,-294.919,-88.897,-286.289,-85.232,-3.664,-294.91899999999987,-0.0,True
0.875,0.625,La1Sr7Fe3Co5O24,-291.917,-78.509,-287.456,-79.013,0.505,-292.1521666666667,-0.23516666666671426,False
0.625,0.0,La3Sr5Fe8Co0O24,-300.702,-88.205,-297.772,-90.24,2.035,-301.0038,-0.3018000000000143,False
