k,primary_mean_radius,primary_minimal_radius,primary_maximal_radius,primary_rsd,secondary_mean_radius,secondary_minimal_radius,secondary_maximal_radius,secondary_rsd,T1,ys_700,fgamma
0,7.666521116237863e-06,1.5159856265918595e-06,6.953857695455233e-05,0.5233760113827884,1.3420480372687066e-07,3.766970831148262e-09,1.223195519790999e-07,3.801499199680984,1120.355173270218,498.9026977554,0.08677643625919
1,1.2106659743350433e-05,4.208218964000625e-06,0.0001197748353774,1.9495916969142852,9.264030364585806e-09,6.577189130860456e-09,8.074456001143942e-08,0.2835925277322531,1084.974311525002,580.2151830656,0.1796876773433
2,1.1247600469579777e-06,3.321629818073614e-06,5.251097518966043e-05,2.104659231286496,1.2773570949653251e-08,5.236237997643394e-09,9.489511127919913e-08,1.03262106962502,1077.596969041042,500.2019673946,0.1964965892722
3,2.2752674912956e-05,1.75406779321343e-05,0.0001106789465649,1.3684292484074831,3.4326555258276813e-09,2.070568726918171e-08,4.222726893339069e-08,2.3866330346092584,1146.329722669907,702.7404025418,0.008836077023359
4,9.062680081443549e-05,1.889742505341308e-06,2.8442289372313288e-05,3.5308700933121147,8.815261532065465e-10,1.19826608132185e-08,1.988913935929438e-07,3.082283469103277,1126.5912492293864,434.6058815526,0.06852446522941
5,4.693450857884339e-06,1.4522017978991049e-05,0.0001767534371502,0.8598214268684387,4.4851036873077265e-08,1.2049435984220422e-09,2.0256793286395823e-08,1.6985131461173295,1097.1884125843644,568.4244811911,0.1498725052204
6,3.0060705457603773e-06,5.130210755694208e-06,3.424878819172426e-05,1.1537362802773714,1.3222896080558463e-09,2.2538970310536507e-09,1.0424008833492473e-07,0.7288844686001539,1080.4879792267457,495.0389494185,0.1900166447493
7,6.0843086823639946e-05,2.7101911548416668e-05,0.0001711347008386,2.3851397055201238,1.4297184982327613e-07,9.041394410013752e-09,3.8748115073213965e-08,2.086708397977054,1143.29705608543,697.7864526401,0.01807515208196
8,3.087300066091526e-05,1.2254756008625378e-06,5.871110910781808e-05,0.7023438394069671,4.0496115381050696e-08,2.7837560573317284e-08,1.5820645112029679e-07,3.3860172225162386,1124.9501842074096,466.7389531164,0.07336979481151
9,1.5985871743919606e-06,9.413613323047598e-06,8.654573681200321e-05,3.868452508654445,5.181275930776667e-09,2.759409372090148e-09,2.5723291772388488e-08,1.9984423737972976,1098.980789957568,598.3596153328,0.1452894842664
10,9.325956541514254e-07,2.475739296471868e-06,0.0001422192766402,3.4738850604742764,3.034610316059074e-09,1.3838013035731571e-09,1.343508931644728e-07,3.612019423209131,1112.6943016657606,477.5974813077,0.1085275232124
11,1.887057333209105e-05,1.182463485108018e-05,2.298105610121581e-05,0.3077885444276035,1.6410279541936678e-08,1.3797684218524322e-08,3.0197171581330246e-08,1.283005714789033,1111.0492488136515,643.3077671153,0.1130904112019
12,0.0001092720218591,2.571638866018709e-06,7.735387177301409e-05,3.02249012067914,9.296062868055701e-08,1.7904557086364682e-08,6.42342662901907e-08,0.4730677131563425,1091.531650815159,558.1071045538,0.1639890312417
13,5.660616486513437e-06,2.1228899718802943e-05,3.654704545243827e-05,1.791104311402887,5.945293243165379e-10,4.515932718959729e-09,6.307543042964604e-08,2.831839779578149,1132.357838517055,622.6479313074,0.05129709486208
14,6.497249819066995e-06,2.8470495316088e-06,0.0001587360415033,3.673903801385314,2.6646661234667826e-08,1.434270287032008e-08,3.3744755491596065e-08,0.3569781198166311,1142.204795894213,696.8524389307,0.02140540797295
15,0.0001254334278197,2.4191043067111315e-05,3.168832100458321e-05,0.988150299526751,7.1676632688704195e-09,1.4229177503421879e-09,1.1673150095696299e-07,2.963186071161181,1084.0109823970124,471.6559630796,0.1819336934001
16,1.4926330684037393e-05,2.2402751418232016e-06,9.247013360624712e-05,2.17538239704445,2.021341091848501e-09,4.3756031223169415e-09,5.1119574010848156e-08,3.728343341592699,1102.429384179413,616.1551357575,0.1363243030371
17,7.37734050622003e-07,1.0395495074116412e-05,6.288680642216197e-05,1.4548103278502822,1.0274483426544377e-07,1.7537830198077986e-08,7.734363175831182e-08,1.1514102353714406,1123.6393284518272,578.0636968733,0.07721934968478
18,2.0165799873215136e-06,1.106924752341126e-06,2.141293467397306e-05,1.8483949140645564,6.117031007144127e-08,8.714018540541112e-09,4.674211159833543e-08,3.498324264679104,1109.9991931812838,638.4742049885,0.115981942833
19,3.894211208849547e-05,8.260964841852219e-06,0.0001333696331351,2.568956805951893,8.224819701821393e-10,2.195755061145995e-09,8.465810432232049e-08,1.870923279877752,1116.2574977381155,555.752332185,0.09851048472911
20,5.281499335698318e-05,5.669401694376111e-06,3.957790419803424e-05,0.3498784494586289,4.638831550373798e-09,2.842593622978282e-09,2.2301522233319103e-08,0.6163356772623956,1135.8489234000444,621.1117113911,0.04074643407092
21,2.6091959149811777e-06,3.0827905064096024e-05,8.323199224035378e-05,3.035612359456718,1.1792832496819477e-08,2.83704383061746e-08,1.7647878545411105e-07,2.214454378280789,1090.26070185937,423.6705523697,0.1670876610653
22,3.704836768587791e-06,1.7099199598626544e-06,4.375612283430836e-05,2.849409850127995,6.655092886781032e-09,2.4065813075493673e-08,3.71812438872848e-08,3.1983953856863083,1106.9530440261588,665.5317494417,0.1242753736647
23,7.153070294392303e-05,1.2767531684756484e-05,6.464600034090649e-05,1.633788885269314,3.6003592697935784e-08,5.977705280038678e-09,1.0750211141309569e-07,1.567189177777618,1119.1529067466035,520.0485566687,0.09024198152593
24,2.6173927414295867e-05,3.677571287598501e-06,2.5611061168150337e-05,3.373223134689033,1.857255146672904e-07,1.0292965032919907e-09,2.449809707717597e-08,0.9162599652074276,1137.6456995960325,657.192214817,0.03529115630059
25,1.293764867484696e-06,1.99869425595642e-05,0.0001276859149234,0.1923129928298294,1.187318212373106e-09,1.042125147756324e-08,1.619359140163239e-07,2.5181913279928265,1088.6061542667449,431.921582168,0.1710812477045
26,1.0502095343396696e-05,3.953264414862456e-05,4.903821892737013e-05,3.953462346736342,6.85358145391515e-08,3.305863865095726e-09,1.48235187941276e-07,2.773710769508034,1076.3639509910718,432.157734587,0.1992185707011
27,0.0001958419561084,1.3692625872566189e-06,0.0001906121949127,1.2963503723964096,1.7677602957471078e-08,1.910783247129132e-09,5.614870859236336e-08,3.914010804984719,1096.027469960973,594.4765548151,0.1528128095171
28,9.67774815911119e-06,6.351230795964424e-06,3.07317063591495e-05,2.5119833742268383,2.259591001531831e-09,7.548537407993589e-09,7.096749860746299e-08,1.3408901280723513,1130.1920543424783,603.635973471,0.05780061337807
29,8.776504676352765e-06,4.447809514084644e-06,5.538138127472543e-05,3.134237396437675,5.20610805976544e-08,1.116334769167272e-08,5.2993176466275736e-08,1.6552996257320047,1082.698159548454,589.7748325338,0.1849697696345
30,0.0001818596363693,3.273000502628475e-05,8.770352488505144e-05,0.4655686361715198,1.0175340891975344e-09,1.118583427938011e-09,7.460385810120298e-08,3.226403279602528,1141.1781513364986,603.53669883,0.02453535901904
31,1.1747956242510887e-05,1.4327173484563143e-06,3.4706960251324e-05,2.621849835012108,3.5871633706336052e-09,5.786347462178289e-09,3.49852536280011e-08,2.429084964096546,1122.6103995461017,667.4738487913,0.08022737504363
32,5.942839787196721e-07,7.676462405796776e-06,0.0001614290082491,1.888001617975533,1.3266858816852024e-08,2.2962220059038532e-08,1.1260036972821089e-07,0.8891604522243142,1101.1188635602591,502.5453676401,0.1397539172797
33,1.413966653766494e-06,1.779720008424321e-06,7.362488887689594e-05,1.554386525321752,2.2684739135856263e-08,7.252850697170499e-09,2.1516053126566597e-08,2.6875176288187506,1114.9403878254816,601.141698855,0.1022341103104
34,2.928576989040185e-05,1.5346682855559243e-05,3.7369969167348806e-05,2.288217126391828,8.86503475167178e-09,1.8096495106802342e-09,1.8293424526056806e-07,0.145220941491425,1108.9682526187971,580.5335422372,0.1188046695268
35,6.640818443997594e-05,3.5230105005244624e-06,0.0001454216043254,1.041996464971453,1.5626525521680164e-09,3.5150386877450813e-09,4.5091106253950044e-08,1.4281089248135683,1089.227485889569,613.442637249,0.1695868808911
36,3.3602662639370496e-06,1.657935840437566e-05,2.187321284564316e-05,3.710653072036803,1.1561880223819749e-07,3.5428896064727583e-08,8.77517020623737e-08,3.939219031482935,1134.5341067761185,569.4403869713,0.04472856025433
37,2.36686272463693e-06,1.158614425996421e-06,0.0001129482175289,2.442925207875669,5.12191168378846e-10,1.6609590092564e-08,2.3632809849745282e-08,2.989347317814827,1117.8310046205297,631.1503830197,0.09403082883679
38,4.903076863590389e-05,9.985809561542854e-06,2.418240813063684e-05,1.2139202346093954,8.053502202970241e-08,4.204204516803899e-09,1.6785322109953248e-07,0.4432456398382782,1105.9354787459597,446.9501557693,0.1270138468349
39,4.357375367844285e-05,5.422570548039567e-06,7.048741901863888e-05,3.930020772852004,1.570346433966137e-08,1.5349148010706074e-09,3.5871741573671134e-08,1.126276388205588,1087.5863135792315,619.4731914681,0.1735201404049
40,2.2036244265096007e-06,2.553174585129506e-05,4.469646671796642e-05,0.7663032331503927,2.9217804138834556e-09,1.525022075962483e-08,1.1143432692446476e-07,3.6411989241838456,1136.3260907586664,532.1127609931,0.0392990733517
41,8.063495396515423e-07,2.7283127430385806e-06,2.7064044932715487e-05,0.1242078466340899,5.381346818197341e-09,3.0831449135678857e-08,5.8212735305650586e-08,1.8428707467392087,1075.0377528602255,573.1770782452,0.2021185129015
42,1.6699409380785948e-05,2.0068941144701595e-05,0.0001807873478626,3.287935679871589,4.231874465976823e-08,3.0450143092280647e-09,6.845602722288795e-08,3.410169177502394,1148.6878178780898,626.7403026708,0.001671261574077
43,0.0001164614262161,2.331989196202504e-06,5.370939366879667e-05,1.611298588104546,1.6503019052102669e-07,2.0950637234206235e-09,2.7829175989852837e-08,2.2415092520415785,1129.167917650193,650.9758715882,0.06086269498916
44,5.892430650310288e-06,1.249970622094259e-05,0.0001053157129417,2.840323037002236,1.5348515388571447e-09,8.435065794148736e-09,1.4298434219740452e-07,0.7053974019363523,1094.703574059531,464.3834216857,0.1561386841969
45,5.114730898113295e-06,2.1100818521532598e-06,2.618774474662401e-05,0.9299108355306088,1.0336827945429532e-08,2.6530852321970223e-09,8.371270445357227e-08,2.113882326614112,1104.8613905208183,544.5252885683,0.1298868150935
46,0.000101100046108,1.0989537066930716e-05,0.0001215305684342,3.614217917621136,4.043438440283736e-09,2.6382292332650853e-08,4.791165228477816e-08,0.8178271529264748,1121.3724569184706,661.7330571807,0.08382994773025
47,2.1062916802808197e-05,3.0206777941632947e-06,4.164677430334142e-05,1.3927289995364844,7.826906777432176e-10,9.611339534796557e-09,1.2680268336027569e-07,1.9702708003111185,1139.7931430488825,514.1352395747,0.02875594001002
48,1.0171422243328467e-06,2.28678234800092e-05,6.610163259939978e-05,2.1118622038513424,5.7854788004865817e-08,2.43074188581304e-09,3.174391395615475e-08,3.297981190215796,1086.2936208490282,608.7599226255,0.1765866675884
49,1.743280487705239e-06,5.992857768597542e-06,0.000193162185569,2.7530360392294826,1.0863324621825147e-07,4.8341985944526945e-09,1.918663072687113e-07,1.2577528272755445,1147.6562113733962,455.0893104394,0.004802763228221
50,5.627975733064008e-05,1.0464782537968444e-06,9.768600894835124e-05,3.215856818389148,8.223116385113586e-09,1.3359036481743972e-08,9.155300013884418e-08,2.858120081108064,1098.2128219678998,525.3013257976,0.1472595886395
51,2.7165371847743626e-06,8.763576451770762e-06,4.969424725822464e-05,0.5315320041030646,3.0400079476299546e-08,1.320635417280825e-09,4.377183373318167e-08,0.559216192830354,1127.9154267627746,666.0445900949,0.06459486267136
52,4.241997906602749e-06,3.900305251406172e-06,9.458052287458348e-05,1.6934528671205045,2.5778654886851152e-09,1.7757325576883595e-09,1.526343996974066e-07,1.555773050803691,1144.609597302042,488.6542939525,0.014074380497
53,8.382622455692487e-05,1.889271821697313e-05,5.983945591786592e-05,2.9076562515459954,2.028059608461889e-08,7.040724425091312e-09,2.6664211017155584e-08,3.826826481055469,1081.5143510932105,584.8471626884,0.1876830025824
54,2.5402999314830736e-05,1.6104547060237397e-06,0.0001510440567509,0.2558113422244787,7.202019750289184e-08,3.636782615385533e-08,1.0055808411365835e-07,2.560095266532153,1100.0094193499535,511.6249443202,0.1426355995477
55,1.2263912961072564e-06,1.3491875931060962e-05,3.241152416187974e-05,3.4353114585392177,6.695432123754515e-10,3.647213468916163e-09,4.0164073598397134e-08,0.2573866200633347,1126.2604142539203,628.5109640238,0.06950352382547
56,6.83616873032285e-07,1.294119352358552e-06,4.011794348031434e-05,3.767943631112576,1.1229597083840966e-09,1.1419526242728935e-09,6.65885836034617e-08,2.2976457255892457,1112.3666582396254,589.2633799397,0.1094394801477
57,1.3515107995568031e-05,6.736525034671483e-06,7.848813855666218e-05,0.5884631066583097,1.7673955826145699e-07,1.152095086441636e-08,6.084105352452784e-08,1.0054025162942708,1113.7255328008905,596.3913127938,0.1056470421648
58,0.000143532878239,4.915274989367653e-06,2.019249255433189e-05,2.3303070459514856,3.138246936582377e-08,2.23302938667652e-08,1.3928973280398954e-07,1.7865045537240805,1133.3913361188024,494.3243140343,0.04818155376083
59,6.927477325386982e-06,3.722972080714236e-05,0.0001351894576664,1.1161138388328256,5.833407549974361e-09,5.566316207509683e-09,2.912850978733773e-08,3.110410417895764,1092.846740130335,607.9910127112,0.1607545157747
60,7.510990025336974e-06,3.4048345284843007e-06,2.262549802052526e-05,2.95141066564247,9.912951998212663e-10,1.364503173111167e-09,2.2977565101951085e-08,3.324542054161429,1101.7458426300436,587.4411079395,0.1381165768923
61,0.0001450577232447,1.6023272304825175e-05,0.0001406055202867,1.7453001361340286,5.0401965199690786e-08,1.3618295398163525e-08,1.753775722631729e-07,1.9361303417012097,1122.1488323062658,448.8778626339,0.08157273467613
62,1.4303667598759243e-05,1.841899676889867e-06,3.613251699304668e-05,3.4140518999658527,1.4354315885379949e-08,1.8684475931219995e-08,4.619654667050093e-08,0.7910695640370249,1141.6670047445225,687.2418614229,0.02304506891851
63,7.067025305694779e-07,1.5882915576845474e-05,7.61574226317372e-05,0.2426447547972202,3.860140773723904e-09,4.708140100369911e-09,8.672325864130243e-08,2.1482946958392857,1082.0805869298056,515.0869316483,0.1863881097116
64,1.2101265171742762e-06,1.4668556321281735e-06,0.000167727828025,0.6403103756718337,8.63880340269222e-09,2.356714883710796e-09,5.2432750160089396e-08,0.5326348653063178,1133.9879233855754,659.2040528816,0.04637990727366
65,2.3360100990633435e-05,7.859400581754911e-06,3.3408138767568755e-05,3.81169804520905,2.1955784957827053e-08,9.445869952230476e-09,7.651596105105566e-08,2.892236356809735,1089.9390811100602,543.5589664923,0.1678675246966
66,8.085430854720658e-05,4.3452589640749975e-06,8.442178484090534e-05,1.102947251405567,1.2506153210214165e-07,2.740765153471132e-08,3.350114368535502e-08,3.5517349053174256,1108.2842296687886,672.6351421071,0.1206685988616
67,3.995860388778788e-06,3.19754747259363e-05,5.75425528550255e-05,2.3090474873781206,1.682029178168668e-09,2.7190908037406214e-09,1.201177800785331e-07,1.2233125558122993,1115.4956915648654,500.9050917118,0.1006671420161
68,2.9451871484369e-06,2.2614290974936542e-06,0.0001094254930616,3.600694187358022,8.272348814411858e-08,5.168741953856427e-09,5.561839661829755e-08,0.2231843275949359,1136.8877309374511,618.2706360639,0.03759414866786
69,5.688480674909049e-05,1.2121451063557358e-05,5.169966545395237e-05,0.9092465150170028,5.286890576815771e-10,2.04192284951483e-08,7.286186032950679e-08,2.58659801594913,1086.8970449548217,551.686257492,0.1751586841743
70,3.647513783941227e-05,2.812817549003818e-06,0.0001740218312169,2.162876197695732,2.698578707984767e-09,1.2496888605798576e-08,2.7596766200392746e-08,3.8611807357519865,1106.63379507605,626.0077525493,0.1251362778038
71,1.8022950834834296e-06,2.0690464255336065e-05,2.812006059407177e-05,1.4366025193594396,1.4602962090968152e-08,1.2578553227949559e-09,1.4697966547481913e-07,1.5289536280557514,1117.2968663042411,470.0673500375,0.09555522580329
72,1.0033429520580835e-06,5.570343631340077e-06,4.623392676729743e-05,2.0132264774292707,4.345679770811736e-08,3.935046339116244e-09,2.4376150921986983e-08,3.144584808126092,1094.094340596348,587.3466387444,0.1576594527151
73,1.9373694658896254e-05,2.6227426448096533e-05,6.815333036958763e-05,2.7395123089663684,5.556205901809319e-09,3.9841187403976366e-08,1.6700828096244361e-07,1.7599850600585345,1129.6495226677507,463.3568000613,0.05942385976142
74,9.749008963543048e-05,1.1276283462172607e-06,2.338153335159318e-05,0.5754055239260196,1.4179894601654387e-09,6.4788985974537805e-09,3.8050627010694464e-08,0.9710240786895156,1148.2155466685072,700.0962308221,0.003104231510586
75,4.819330565525796e-06,9.718712186753387e-06,0.0001168328438623,3.2668708122335373,1.5342275368281564e-07,1.6092817090289936e-09,1.0611352988420266e-07,2.3244446847587823,1075.67420208361,475.8632787367,0.20073040951
76,6.110135217778276e-06,1.0184884657793235e-06,4.804847754309008e-05,1.2345554106868804,4.125111411264126e-09,3.2358414933350406e-08,1.930676167802224e-07,0.8550312169827521,1085.8047666028142,414.8594338247,0.1777390836367
77,0.0001236126831652,8.529208500745626e-06,0.0001010457609437,2.456418631412089,1.049416661848199e-08,3.2538965092495723e-09,2.038103365598869e-08,2.4556496127508582,1140.4107165057212,621.0229627942,0.02687437095329
78,1.692694899852255e-05,6.156144952156763e-06,2.9985937058138944e-05,0.7224600200541317,5.4433429761754977e-08,1.9957006629256395e-09,9.602886221768937e-08,3.2608268721960485,1120.7454786868766,538.3560556608,0.0856474571389
79,8.76706240579255e-07,2.983154205731565e-05,0.0001867658302588,3.879035923443735,7.314061113048158e-10,7.891555339945954e-09,4.121609265108966e-08,1.6285458215512336,1105.322956922464,643.4971122645,0.1286544473853
80,2.0825186708934437e-06,3.114224411154501e-06,6.362791973646805e-05,3.301429103408009,2.167610150751963e-09,2.5097162615181582e-08,7.873372579609865e-08,3.973346414323896,1128.5994488745928,585.4024980414,0.06255839651346
81,4.214261674383956e-05,2.357608850872289e-05,4.327178786229084e-05,0.144843022711575,1.1025652800480605e-07,6.239150018548245e-09,5.0199364892414506e-08,1.401531265769154,1097.6575190667063,610.6375978463,0.1486781136491
82,4.522995484462735e-05,2.0462307098083776e-06,0.0001262731559966,2.789338187593967,2.8594466555026383e-08,1.0160852227667934e-09,1.2322580434497465e-07,0.1107917771674692,1079.1653051273895,574.0456461319,0.1929983619903
83,2.3415547393198832e-06,1.0657028189310112e-05,2.5207841242918826e-05,1.5674553750082851,7.686417559317114e-09,1.0278813370907602e-08,3.1977544243231715e-08,2.7142621419392525,1146.9446153147146,692.1010339757,0.006965614568171
84,3.4840578784083843e-06,4.801967477062731e-06,0.000130130885044,0.4137508021667599,1.9865449513348305e-08,8.578000605702923e-09,6.485612806781557e-08,3.667705458309501,1125.5620976444334,611.004781808,0.07156639097351
85,2.96831098867018e-05,1.3249586677502091e-06,8.155066395199694e-05,1.9011380730196836,7.121142735073411e-10,2.9727691707128313e-09,1.307102421319485e-07,0.4164300017990172,1080.9527111938223,487.5496932748,0.1889621485555
86,1.5375332672245264e-06,6.897033184435546e-06,3.861661469512398e-05,2.643079958576709,7.701721179351108e-08,2.9641265798973716e-08,3.0450974289401926e-08,3.023712795879692,1145.2988656470552,716.4544350477,0.01197449091749
87,5.614760203422213e-07,1.6667249989824425e-06,3.133825171967899e-05,2.2444928446784616,1.730742002340731e-07,1.4968320251802998e-08,1.5902095315169849e-07,0.6788815767504275,1093.319011060521,431.2216233099,0.1595859355086
88,1.136535239782307e-05,1.3963237923551612e-05,0.0001562396129538,1.502568691316992,1.107186321041642e-09,1.4837302762998584e-09,2.4938410676034346e-08,2.2756947494111954,1132.754887174815,636.4728206685,0.05010103076462
89,0.0001677103184409,3.7694898689427296e-06,6.189753677975227e-05,3.731883195601404,6.206010576413828e-09,4.314340263716667e-09,1.0187227286946493e-07,3.436971805151552,1114.3347665434703,522.7824137572,0.103938121828
90,8.684744426130958e-06,1.8258991841163945e-05,9.144821381898888e-05,1.0551329200156032,3.3550692202882193e-08,1.7306879946914512e-08,3.9249821457237216e-08,1.808503416273743,1111.8850529426709,662.0945882562,0.1107771201119
91,9.332443512630642e-06,1.948246192808529e-06,0.0001828068535688,1.6812032070942224,1.7572371357771664e-09,3.129038428314775e-08,9.263380195696432e-08,1.1858500346541403,1139.38436252065,571.0385300598,0.03000094280022
92,0.0001845362167235,1.4971548806381058e-05,2.749648132118493e-05,2.8896824194118382,1.2992825147709277e-07,3.0932978868275555e-09,4.272967597398607e-08,3.701602024771273,1084.4922432675958,611.0498345977,0.1808135519818
93,1.0359331492813829e-05,3.22117031518911e-06,0.0001069989168752,0.1823900968767702,2.549199351242919e-08,2.005240819198313e-09,1.8622206011355e-07,2.929069323278964,1104.01270899456,424.8358071121,0.1321439710669
94,5.000745932389695e-07,1.701012040979481e-05,5.430958349364902e-05,3.356158602423966,9.969036759855792e-09,8.065699978347144e-09,2.1128757939874335e-08,0.3835589751601219,1119.7168314130977,600.2513550567,0.08861875278593
95,1.3692119459779882e-06,4.095615474635669e-06,2.478426729208579e-05,3.993734916020185,3.345065393173442e-09,1.5928825438243373e-08,1.2772419931616134e-07,2.1800424667075275,1096.6263058129698,473.152739956,0.1512989157161
96,2.7061982731670777e-05,3.382647872796118e-05,0.0001152763384982,0.8199487945064902,1.2363138781491272e-08,4.028485172430258e-09,3.0849146512396264e-08,0.6430937238037586,1127.2820573300123,655.8871413266,0.06647657766508
97,7.754568656180722e-05,1.5573200534788918e-06,4.561797535642119e-05,2.494918841961771,4.851421485262249e-08,1.5553973467350582e-09,8.161648153416963e-08,1.905064196139574,1145.6295081181452,592.5880645949,0.010967546349
98,3.7443895958779977e-06,7.434312016816023e-06,7.224206947105943e-05,1.2864274764433503,9.488718046220702e-10,1.5466771161519854e-08,4.84296984019573e-08,3.4717638583853843,1078.1317896442488,598.646509858,0.1953081907219
99,2.5168755984232617e-06,2.6615233787380018e-06,3.7967906786275805e-05,0.9709668358787894,1.4685656049030113e-07,7.368684581870725e-09,1.354962049171862e-07,2.491392826475203,1099.5262921787798,464.1777059632,0.1438842251986
100,4.975410006315166e-05,2.197097862161755e-05,7.444896530731548e-05,3.664813890028745,1.3648772036463016e-09,1.8367937051342106e-09,2.937745893100538e-08,0.950638860464096,1124.2404860910028,644.6172362998,0.07545631088671
101,3.842283722131091e-05,2.392658826024814e-06,2.2117934916679527e-05,1.4944879496470094,4.785452354481975e-09,3.362252418186826e-09,6.722378968391663e-08,1.5937091290950776,1143.9795384416357,626.3000773918,0.01599461325518
102,1.854271712670995e-06,1.1427868013691265e-05,0.0001477477278682,2.223153687361628,3.765803108508146e-08,3.392139027779808e-08,5.9258964827612655e-08,3.1642214531078934,1079.9331431975588,572.5831757822,0.1912709276456
103,7.80800271565226e-07,1.1972371087433505e-06,8.95101049309289e-05,2.559866894595325,1.6851543369768495e-08,1.0695559850466104e-08,9.826009512910097e-08,1.3677090786397457,1131.732753198594,550.0194586329,0.05317780920819
104,1.543082688264785e-05,9.1967311520257e-06,5.67589889946677e-05,1.8312114504165948,3.1332066388989516e-09,1.072616060184314e-09,4.0689831751400107e-08,3.8796560781076552,1091.9925402384251,623.0716909647,0.1628587256095
105,0.00013599504842,5.2523765415761e-06,0.0001654438580255,3.083383649773896,5.49260880147553e-10,5.866531462726161e-09,1.5339865490974213e-07,2.747207547910512,1110.5608575278893,457.1513184694,0.1144373474876
106,6.566089387116319e-06,2.7747394254127477e-05,3.542173400227823e-05,0.3895560712553561,8.642197433473666e-08,2.3260778018434085e-08,2.5854253419536983e-08,0.2055096291005611,1113.3103392785415,645.5908266723,0.106808626541
107,5.220582665533392e-06,5.804422557093478e-06,8.046419432663662e-05,2.394259691145271,7.312463006920246e-09,1.1579729332101867e-09,4.4558548904679545e-08,2.6194243815727534,1123.1663797050714,657.372536569,0.07860350960108
108,0.0001081374793038,3.156199047946441e-05,4.093335614403041e-05,1.1709491208195686,2.70523320309538e-08,1.1671397261422545e-08,8.990495600238549e-08,0.3180212344042957,1103.067726874724,564.328362286,0.134643760462
109,1.7827501309033094e-05,1.0814227692049778e-06,0.0001379378773852,3.820651841443032,9.666908981081629e-08,2.1390969341255376e-08,2.216517019577692e-08,1.4952504958026112,1083.400213648565,596.9740594087,0.1833497325752
110,9.021571455975968e-07,8.070617481667468e-06,2.070096548784432e-05,0.6626361433416604,1.888901316236799e-09,5.337270835779111e-09,1.8181830122976534e-07,3.7673713591881097,1142.686863313429,459.0820624598,0.01993557767847
111,1.620322026538924e-06,2.165105861497458e-06,6.052491333055384e-05,0.3250013849698007,8.393277595787061e-10,1.698452504300718e-09,3.4727805414770355e-08,1.7252674224786462,1090.9609155729413,622.6508499476,0.1653838322724
112,3.357194042169474e-05,1.0046655452116013e-05,9.606474320030476e-05,3.483005046099424,6.208454141598293e-08,6.739997767200018e-09,1.158830932408254e-07,3.047860348690301,1135.314103635028,522.9218912579,0.04236733124029
113,6.308275633667512e-05,2.946568035699619e-06,3.2920283273727016e-05,1.7513966153375804,1.1092428823286442e-08,3.695075441585288e-08,5.4346843952995945e-08,2.360068858135492,1116.8196053477004,624.4923923917,0.09691405437108
114,3.190822061960415e-06,2.503655676173654e-05,0.0001527748845076,2.9746894534677266,4.3360809310329794e-09,3.7025448731534155e-09,7.381587955092496e-08,1.0667507770471274,1109.3083842424676,573.2969023874,0.1178751690681
115,4.329738670208648e-06,1.4065903205915698e-06,2.957761088874602e-05,3.15411145016551,3.526649348407974e-08,4.8978777229995304e-09,2.8604171859910562e-08,2.0328101764433084,1087.9236716311425,599.5918302454,0.1727152825933
116,8.966022450069107e-05,6.524397498837448e-06,0.0001980227187789,0.4759324870072305,6.5597955706113985e-09,1.9719789176210963e-08,1.417932193728891e-07,3.359215067047626,1138.200535904616,494.7957747095,0.03360399411763
117,2.150165355354112e-05,4.526332013568006e-06,5.0944490986823286e-05,2.702895938977599,1.262806963061097e-09,1.2813660735572521e-08,5.765482576141115e-08,2.052523372787982,1118.6074048047883,623.7910557974,0.09180827665504
118,1.0877884642681165e-06,3.8474873328451214e-05,9.966979498945694e-05,1.9595449577085675,1.9861123585566057e-07,1.2655100579765479e-09,7.02932275296902e-08,0.755400765966624,1107.6627418631688,554.5030947585,0.1223558942573
